,bldCode,doorIndex,bldCodeDoorIndex,ProjNumber,aprtmentSize,yearsInBldg,age,lowDiscount,highDiscount,noDiscount,income,rent,own,agentID,prjectType,tic,status,Floors,MainCost,cityTax,CostForStaying,ratioCostForStaying,reason_leave,mortgage,rentPrice,bld_status
27,210_19_a,8,210_19_a_8,20180988,82,6,43,0,0,1,11044.0,0,1,2a6d061a-9b6a-11eb-ab03-acde48001122,1,1,stay,7.0,320.0,445.26,765.26,0.069291923216226,,0,0.0,Construction
28,210_19_a,9,210_19_a_9,20180988,82,2,38,0,0,1,10041.0,0,1,2a6d0642-9b6a-11eb-ab03-acde48001122,1,1,stay,7.0,320.0,445.26,765.26,0.0762135245493476,,0,0.0,Construction
29,210_19_a,10,210_19_a_10,20180988,82,9,37,0,0,1,13911.0,0,1,2a6d0674-9b6a-11eb-ab03-acde48001122,1,1,stay,7.0,320.0,445.26,765.26,0.0550111422615196,,0,0.0,Construction
30,210_19_a,11,210_19_a_11,20180988,82,10,51,0,1,0,5976.0,1,0,2a6d069c-9b6a-11eb-ab03-acde48001122,1,1,Leave,7.0,320.0,445.26,765.26,0.1280555555555556,Rent,0,0.0,Construction
31,210_19_a,12,210_19_a_12,20180988,82,12,24,0,0,1,13046.0,1,0,2a6d06ce-9b6a-11eb-ab03-acde48001122,1,1,Leave,7.0,320.0,445.26,765.26,0.0586585926720834,Rent,0,0.0,Construction
32,210_19_a,13,210_19_a_13,20180988,82,9,34,0,0,1,12300.0,0,1,2a6d0700-9b6a-11eb-ab03-acde48001122,1,1,stay,7.0,320.0,445.26,765.26,0.0622162601626016,,0,0.0,Construction
33,210_19_a,14,210_19_a_14,20180988,82,12,46,0,0,1,11487.0,0,1,2a6d0728-9b6a-11eb-ab03-acde48001122,1,1,stay,7.0,320.0,445.26,765.26,0.0666196570035692,,0,0.0,Construction
34,210_19_a,15,210_19_a_15,20180988,82,5,52,0,0,1,9359.0,1,0,2a6d075a-9b6a-11eb-ab03-acde48001122,1,1,Leave,7.0,320.0,445.26,765.26,0.0817672828293621,Rent,0,0.0,Construction
35,210_19_a,16,210_19_a_16,20180988,82,30,63,0,0,1,12484.0,0,1,2a6d078c-9b6a-11eb-ab03-acde48001122,1,1,stay,7.0,320.0,445.26,765.26,0.0612992630567125,,0,0.0,Construction
36,210_19_a,17,210_19_a_17,20180988,82,26,54,0,0,1,15052.0,0,1,2a6d07b4-9b6a-11eb-ab03-acde48001122,1,1,stay,7.0,320.0,445.26,765.26,0.0508410842412968,,0,0.0,Construction
37,210_19_a,18,210_19_a_18,20180988,82,15,38,0,0,1,13378.0,1,0,2a6d07dc-9b6a-11eb-ab03-acde48001122,1,1,Leave,7.0,320.0,445.26,765.26,0.0572028703842128,Rent,0,0.0,Construction
38,210_19_a,19,210_19_a_19,20180988,82,8,47,0,0,1,9438.0,1,0,2a6d080e-9b6a-11eb-ab03-acde48001122,1,1,Leave,7.0,320.0,445.26,765.26,0.0810828565374019,Rent,0,0.0,Construction
